kana,unicode,svgFile,pngFile,strokeCount
弛,0x5f1b,05f1b.svg,05f1b.png,6
弟,0x5f1f,05f1f.svg,05f1f.png,7
弥,0x5f25,05f25.svg,05f25.png,8
弦,0x5f26,05f26.svg,05f26.png,8
弧,0x5f27,05f27.svg,05f27.png,9
弩,0x5f29,05f29.svg,05f29.png,8
弭,0x5f2d,05f2d.svg,05f2d.png,9
弯,0x5f2f,05f2f.svg,05f2f.png,9
弱,0x5f31,05f31.svg,05f31.png,10
張,0x5f35,05f35.svg,05f35.png,11
強,0x5f37,05f37.svg,05f37.png,11
弸,0x5f38,05f38.svg,05f38.png,11
弼,0x5f3c,05f3c.svg,05f3c.png,12
弾,0x5f3e,05f3e.svg,05f3e.png,12
彁,0x5f41,05f41.svg,05f41.png,13
彈,0x5f48,05f48.svg,05f48.png,15
彊,0x5f4a,05f4a.svg,05f4a.png,16
彌,0x5f4c,05f4c.svg,05f4c.png,17
彎,0x5f4e,05f4e.svg,05f4e.png,22
彐,0x5f50,05f50.svg,05f50.png,3
彑,0x5f51,05f51.svg,05f51.png,3
当,0x5f53,05f53.svg,05f53.png,6
彖,0x5f56,05f56.svg,05f56.png,9
彗,0x5f57,05f57.svg,05f57.png,11
彙,0x5f59,05f59.svg,05f59.png,13
彜,0x5f5c,05f5c.svg,05f5c.png,16
彝,0x5f5d,05f5d.svg,05f5d.png,18
彡,0x5f61,05f61.svg,05f61.png,3
形,0x5f62,05f62.svg,05f62.png,7
彦,0x5f66,05f66.svg,05f66.png,9
彩,0x5f69,05f69.svg,05f69.png,11
彪,0x5f6a,05f6a.svg,05f6a.png,11
彫,0x5f6b,05f6b.svg,05f6b.png,11
彬,0x5f6c,05f6c.svg,05f6c.png,11
彭,0x5f6d,05f6d.svg,05f6d.png,12
彰,0x5f70,05f70.svg,05f70.png,14
影,0x5f71,05f71.svg,05f71.png,15
彳,0x5f73,05f73.svg,05f73.png,3
彷,0x5f77,05f77.svg,05f77.png,7
役,0x5f79,05f79.svg,05f79.png,7
彼,0x5f7c,05f7c.svg,05f7c.png,8
彿,0x5f7f,05f7f.svg,05f7f.png,8
往,0x5f80,05f80.svg,05f80.png,8
征,0x5f81,05f81.svg,05f81.png,8
徂,0x5f82,05f82.svg,05f82.png,8
徃,0x5f83,05f83.svg,05f83.png,8
径,0x5f84,05f84.svg,05f84.png,8
待,0x5f85,05f85.svg,05f85.png,9
徇,0x5f87,05f87.svg,05f87.png,9
很,0x5f88,05f88.svg,05f88.png,9
徊,0x5f8a,05f8a.svg,05f8a.png,9
律,0x5f8b,05f8b.svg,05f8b.png,9
後,0x5f8c,05f8c.svg,05f8c.png,9
徐,0x5f90,05f90.svg,05f90.png,10
徑,0x5f91,05f91.svg,05f91.png,10
徒,0x5f92,05f92.svg,05f92.png,10
従,0x5f93,05f93.svg,05f93.png,10
得,0x5f97,05f97.svg,05f97.png,11
徘,0x5f98,05f98.svg,05f98.png,11
徙,0x5f99,05f99.svg,05f99.png,11
從,0x5f9e,05f9e.svg,05f9e.png,11
徠,0x5fa0,05fa0.svg,05fa0.png,11
御,0x5fa1,05fa1.svg,05fa1.png,12
徨,0x5fa8,05fa8.svg,05fa8.png,12
復,0x5fa9,05fa9.svg,05fa9.png,12
循,0x5faa,05faa.svg,05faa.png,12
徭,0x5fad,05fad.svg,05fad.png,13
微,0x5fae,05fae.svg,05fae.png,13
徳,0x5fb3,05fb3.svg,05fb3.png,14
徴,0x5fb4,05fb4.svg,05fb4.png,14
徹,0x5fb9,05fb9.svg,05fb9.png,15
徼,0x5fbc,05fbc.svg,05fbc.png,16
徽,0x5fbd,05fbd.svg,05fbd.png,17
